"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",2,2,8,1,14,"__amd_rocclr_fillBufferAligned",1,123726098293072,123726098432952,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,2,14,"__amd_rocclr_fillBufferAligned",2,123726098480912,123726098486912,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,3,14,"__amd_rocclr_fillBufferAligned",3,123726098494192,123726098994914,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,4,14,"__amd_rocclr_fillBufferAligned",4,123726099005794,123726099024995,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,6,14,"__amd_rocclr_fillBufferAligned",6,123726099757599,123726099765999,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,7,14,"__amd_rocclr_fillBufferAligned",7,123726099771119,123726099878239,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,23,14,"__amd_rocclr_fillBufferAligned",23,123726101650209,123726101658249,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,24,14,"__amd_rocclr_fillBufferAligned",24,123726101663409,123726101861410,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,36,14,"__amd_rocclr_fillBufferAligned",36,123726103018656,123726103404818,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,37,14,"__amd_rocclr_fillBufferAligned",37,123726103414098,123726103419938,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,52,14,"__amd_rocclr_fillBufferAligned",52,123726104400303,123726104520704,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,47,14,"__amd_rocclr_fillBufferAligned",47,123726104052461,123726104172262,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,42,14,"__amd_rocclr_fillBufferAligned",42,123726103704780,123726103768180,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,32,14,"__amd_rocclr_fillBufferAligned",32,123726102650214,123726102658294,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,27,14,"__amd_rocclr_fillBufferAligned",27,123726102095131,123726102103091,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,22,14,"__amd_rocclr_fillBufferAligned",22,123726101442888,123726101640369,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,53,14,"__amd_rocclr_fillBufferAligned",53,123726104530024,123726104535704,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,17,14,"__amd_rocclr_fillBufferAligned",17,123726100886565,123726101084686,0,0,16,0,128,256,1,1,12288,1,1
"KERNEL_DISPATCH","Agent 1",2,2,8,48,14,"__amd_rocclr_fillBufferAligned",48,123726104181542,123726104186942,0,0,16,0,128,256,1,1,12288,1,1
